employee_id,review_date,review_period,self_rating,manager_rating,overall_rating,goals_achieved,goals_target,feedback_summary,goals_met_pct
13,2023-12-15,H2-2023,3,4,4,2,5,Head exactly size customer quickly age.,40.0
13,2024-06-15,H1-2024,2,2,2,4,5,Life past read medical major must site decide.,80.0
13,2024-12-15,H2-2024,4,3,4,3,5,May indicate visit expert remain.,60.0
13,2025-06-15,H1-2025,2,4,3,3,5,Until deal also type lay.,60.0
14,2023-06-15,H1-2023,3,5,4,5,5,Agent chair cultural feel a.,100.0
14,2023-12-15,H2-2023,3,3,3,5,5,If bar others off.,100.0
14,2024-06-15,H1-2024,5,4,4,5,5,Message day throw long.,100.0
14,2024-12-15,H2-2024,5,5,5,5,5,Anything institution mother without job partner role.,100.0
14,2025-06-15,H1-2025,3,5,4,3,5,Rather tree near any kind major city east.,60.0
15,2023-06-15,H1-2023,4,5,4,4,5,Garden mouth instead call decide middle.,80.0
15,2023-12-15,H2-2023,5,5,5,3,5,Enough small article bit lay alone pass happy.,60.0
15,2024-06-15,H1-2024,5,5,5,2,5,Population national college point police sense.,40.0
15,2024-12-15,H2-2024,5,4,4,4,5,Republican project require discover anything else.,80.0
15,2025-06-15,H1-2025,4,5,4,5,5,Fight Mrs task Congress half cultural develop.,100.0
16,2023-06-15,H1-2023,4,2,3,4,5,Less woman term anyone ago bar mind.,80.0
16,2023-12-15,H2-2023,4,3,4,4,5,Happy reach third fly sign what.,80.0
16,2024-06-15,H1-2024,2,2,2,4,5,Past late mission media.,80.0
16,2024-12-15,H2-2024,2,2,2,3,5,Me wall we ahead wonder help.,60.0
16,2025-06-15,H1-2025,2,3,2,3,5,The imagine authority wrong professional front we.,60.0
17,2023-06-15,H1-2023,4,3,4,4,5,Into design political sign Democrat.,80.0
17,2023-12-15,H2-2023,4,3,4,5,5,Board toward major simply development certain.,100.0
17,2024-06-15,H1-2024,3,5,4,5,5,Spend option truth age.,100.0
17,2024-12-15,H2-2024,4,3,4,3,5,Make paper recent reach great history.,60.0
17,2025-06-15,H1-2025,5,3,4,4,5,Seven prepare entire medical.,80.0
18,2023-06-15,H1-2023,2,3,2,5,5,Shoulder TV maybe doctor.,100.0
18,2023-12-15,H2-2023,4,4,4,4,5,Morning democratic to part power.,80.0
18,2024-06-15,H1-2024,4,4,4,5,5,Whatever this now picture bad against hundred.,100.0
18,2024-12-15,H2-2024,2,3,2,3,5,Thousand note growth perhaps account assume author.,60.0
18,2025-06-15,H1-2025,3,3,3,2,5,Now traditional left cell.,40.0
19,2023-06-15,H1-2023,3,3,3,3,5,Just arm training bit after end pattern.,60.0
19,2023-12-15,H2-2023,4,2,3,5,5,Assume onto fly activity.,100.0
19,2024-06-15,H1-2024,4,2,3,3,5,Worry chance guy sound letter pull experience.,60.0
19,2024-12-15,H2-2024,3,4,4,3,5,Develop seem Mrs dark avoid bed kind.,60.0
19,2025-06-15,H1-2025,3,3,3,4,5,Know main process enough.,80.0
20,2023-06-15,H1-2023,4,4,4,2,5,Ability range five water road be.,40.0
20,2023-12-15,H2-2023,3,3,3,4,5,None issue charge wife common establish.,80.0
20,2024-06-15,H1-2024,4,3,4,4,5,Performance last include foot face.,80.0
20,2024-12-15,H2-2024,2,4,3,3,5,Environment man hard reveal cause term his report.,60.0
20,2025-06-15,H1-2025,2,3,2,5,5,Very fund section according society where.,100.0
21,2023-06-15,H1-2023,1,2,2,4,5,Whose morning point even really.,80.0
21,2023-12-15,H2-2023,2,1,2,2,5,Whole walk cause some early base machine.,40.0
21,2024-06-15,H1-2024,1,1,1,2,5,Conference treat receive political cell.,40.0
21,2024-12-15,H2-2024,2,1,2,3,5,Before evidence general point get write.,60.0
21,2025-06-15,H1-2025,2,1,2,4,5,Report role school fall run gas own.,80.0
22,2023-06-15,H1-2023,3,4,4,4,5,Save seek fly after parent because.,80.0
22,2023-12-15,H2-2023,3,4,4,5,5,Recent yard yeah hair.,100.0
22,2024-06-15,H1-2024,5,4,4,4,5,Feeling eye over say while stand deal.,80.0
22,2024-12-15,H2-2024,4,3,4,2,5,Would road song scientist describe million under.,40.0
22,2025-06-15,H1-2025,5,3,4,2,5,Himself collection nearly behavior represent above task land.,40.0
23,2023-06-15,H1-2023,5,4,4,3,5,Although mean care future low get.,60.0
23,2023-12-15,H2-2023,5,5,5,5,5,Others know technology unit.,100.0
23,2024-06-15,H1-2024,5,5,5,4,5,Push I teacher paper seat citizen watch.,80.0
23,2024-12-15,H2-2024,5,5,5,2,5,Agree then report factor air speech.,40.0
23,2025-06-15,H1-2025,4,3,4,4,5,Finish fine about know television those question conference.,80.0
24,2023-06-15,H1-2023,5,5,5,3,5,Girl difference ten administration.,60.0
24,2023-12-15,H2-2023,5,5,5,2,5,Sound lose least information western particular employee.,40.0
24,2024-06-15,H1-2024,5,5,5,3,5,Wonder interview would through say official.,60.0
24,2024-12-15,H2-2024,5,4,4,2,5,Our edge company key fill send.,40.0
24,2025-06-15,H1-2025,4,5,4,3,5,Health best sound whatever glass service.,60.0
25,2023-06-15,H1-2023,1,1,1,5,5,Fact get get issue fact us training.,100.0
25,2023-12-15,H2-2023,1,1,1,4,5,Not risk although night receive.,80.0
25,2024-06-15,H1-2024,1,1,1,3,5,Dinner case either nature car should available.,60.0
25,2024-12-15,H2-2024,2,1,2,5,5,Responsibility detail send administration surface.,100.0
25,2025-06-15,H1-2025,1,1,1,3,5,Experience professor break garden than.,60.0
26,2023-06-15,H1-2023,5,4,4,4,5,Whatever suggest hit answer.,80.0
26,2023-12-15,H2-2023,5,4,4,2,5,Stop able discover meet.,40.0
26,2024-06-15,H1-2024,5,4,4,2,5,Quality more various suffer international brother professional order.,40.0
26,2024-12-15,H2-2024,5,5,5,3,5,Wonder thank door.,60.0
26,2025-06-15,H1-2025,5,4,4,5,5,Range huge suffer measure inside attorney likely important.,100.0
27,2023-06-15,H1-2023,5,5,5,2,5,Apply that little then democratic.,40.0
27,2023-12-15,H2-2023,4,5,4,4,5,View rather quickly design without democratic.,80.0
27,2024-06-15,H1-2024,3,4,4,4,5,Example do still particularly reality mention company.,80.0
27,2024-12-15,H2-2024,5,5,5,2,5,Case account professor them follow.,40.0
27,2025-06-15,H1-2025,3,3,3,4,5,Partner just read unit wear prevent.,80.0
28,2023-06-15,H1-2023,5,5,5,2,5,Might organization car share really.,40.0
28,2023-12-15,H2-2023,5,4,4,5,5,Seven nearly sense open management spring.,100.0
28,2024-06-15,H1-2024,3,5,4,5,5,Camera offer difference by many.,100.0
28,2024-12-15,H2-2024,5,5,5,3,5,Term tree produce well pick center discussion.,60.0
28,2025-06-15,H1-2025,3,5,4,4,5,Walk last size through every he.,80.0
29,2023-06-15,H1-2023,4,4,4,5,5,Them speak attack newspaper.,100.0
29,2023-12-15,H2-2023,2,2,2,5,5,Training entire indicate fly direction might fight.,100.0
29,2024-06-15,H1-2024,2,4,3,2,5,Free forward item audience cup color.,40.0
29,2024-12-15,H2-2024,4,2,3,5,5,Throw reflect modern appear just any.,100.0
29,2025-06-15,H1-2025,2,4,3,3,5,Beyond common system raise about event.,60.0
30,2023-06-15,H1-2023,5,4,4,3,5,Why really check lose these drop money.,60.0
30,2023-12-15,H2-2023,5,5,5,4,5,Message region center.,80.0
30,2024-06-15,H1-2024,3,5,4,5,5,Skin age business fast account great church.,100.0
30,2024-12-15,H2-2024,5,5,5,2,5,Company job fight receive.,40.0
30,2025-06-15,H1-2025,3,4,4,2,5,Wonder build successful.,40.0
31,2023-06-15,H1-2023,4,5,4,2,5,Hotel himself young nearly where remain present.,40.0
31,2023-12-15,H2-2023,4,5,4,4,5,Majority both natural particularly fly gas cover.,80.0
31,2024-06-15,H1-2024,5,3,4,4,5,Watch improve husband factor garden during build.,80.0
31,2024-12-15,H2-2024,5,4,4,5,5,Lead way opportunity make between.,100.0
31,2025-06-15,H1-2025,4,5,4,5,5,Whatever court gun agent act establish candidate money.,100.0
32,2023-06-15,H1-2023,2,4,3,3,5,Town form region stuff just walk.,60.0
32,2023-12-15,H2-2023,2,4,3,3,5,Heart low glass image car nearly popular experience.,60.0
32,2024-06-15,H1-2024,3,3,3,3,5,Window candidate issue around staff story.,60.0
32,2024-12-15,H2-2024,2,3,2,2,5,Politics middle feeling practice class.,40.0
32,2025-06-15,H1-2025,2,4,3,4,5,Else reduce care opportunity prove blue impact.,80.0
33,2023-06-15,H1-2023,5,4,4,5,5,Same officer just drop say white.,100.0
33,2023-12-15,H2-2023,4,4,4,4,5,Raise role my news.,80.0
33,2024-06-15,H1-2024,4,4,4,5,5,Decision experience evening attack effect drive thank while.,100.0
33,2024-12-15,H2-2024,5,4,4,3,5,Necessary of believe recognize event.,60.0
34,2023-06-15,H1-2023,3,3,3,2,5,Feel others research card animal suggest then.,40.0
34,2023-12-15,H2-2023,3,1,2,5,5,Never them despite wife.,100.0
34,2024-06-15,H1-2024,2,3,2,3,5,Trade education key standard write.,60.0
34,2024-12-15,H2-2024,2,2,2,4,5,Director bed leave window focus produce generation.,80.0
34,2025-06-15,H1-2025,3,3,3,5,5,Shoulder knowledge food prepare.,100.0
35,2023-06-15,H1-2023,3,4,4,2,5,Seek bring available.,40.0
35,2023-12-15,H2-2023,5,3,4,4,5,Congress discover poor table couple step.,80.0
35,2024-06-15,H1-2024,5,3,4,4,5,Head water wear situation share.,80.0
35,2024-12-15,H2-2024,4,5,4,5,5,Everything despite fund.,100.0
35,2025-06-15,H1-2025,3,4,4,2,5,Job feeling why behavior skin almost.,40.0
36,2023-06-15,H1-2023,5,5,5,2,5,Beyond question together operation must light.,40.0
36,2023-12-15,H2-2023,5,4,4,2,5,Certain activity public customer.,40.0
36,2024-06-15,H1-2024,4,3,4,4,5,Various effect else participant blue others possible.,80.0
36,2024-12-15,H2-2024,3,5,4,4,5,Within final woman change rather.,80.0
36,2025-06-15,H1-2025,4,3,4,4,5,Box it head president wear.,80.0
37,2023-06-15,H1-2023,2,4,3,5,5,But west me team.,100.0
37,2023-12-15,H2-2023,2,3,2,5,5,Per least can send standard political country science.,100.0
37,2024-06-15,H1-2024,3,2,2,3,5,Crime writer action step before successful.,60.0
37,2024-12-15,H2-2024,2,3,2,5,5,Less instead dinner as everyone year.,100.0
37,2025-06-15,H1-2025,2,3,2,3,5,Writer hand consider for cost others outside weight.,60.0
38,2023-06-15,H1-2023,3,3,3,3,5,Present newspaper hotel throw finish.,60.0
38,2023-12-15,H2-2023,1,3,2,3,5,Coach list mean particular.,60.0
38,2024-06-15,H1-2024,1,1,1,3,5,Look little class send base behind child.,60.0
38,2024-12-15,H2-2024,1,1,1,2,5,Mission Mrs upon hard return.,40.0
38,2025-06-15,H1-2025,2,2,2,2,5,Involve visit law product.,40.0
39,2023-06-15,H1-2023,5,3,4,5,5,Interview company sense military.,100.0
39,2023-12-15,H2-2023,3,3,3,3,5,Political study difference answer street attorney.,60.0
39,2024-06-15,H1-2024,3,4,4,5,5,Simply share range exist.,100.0
39,2024-12-15,H2-2024,5,3,4,5,5,Attorney add wait visit.,100.0
39,2025-06-15,H1-2025,3,4,4,4,5,Democratic television common strategy.,80.0
40,2023-06-15,H1-2023,4,3,4,4,5,Billion ahead group product.,80.0
40,2023-12-15,H2-2023,3,2,2,5,5,Republican effort although leader its.,100.0
40,2024-06-15,H1-2024,4,2,3,4,5,Face interest which stuff brother experience nothing.,80.0
40,2024-12-15,H2-2024,3,3,3,4,5,Major type room.,80.0
40,2025-06-15,H1-2025,4,4,4,5,5,First pattern decision.,100.0
41,2023-06-15,H1-2023,5,4,4,5,5,Approach particular it become turn north.,100.0
41,2023-12-15,H2-2023,5,5,5,3,5,Ability American toward everything.,60.0
41,2024-06-15,H1-2024,5,4,4,2,5,Whom open budget audience.,40.0
41,2024-12-15,H2-2024,5,5,5,3,5,Voice end fine.,60.0
41,2025-06-15,H1-2025,5,5,5,3,5,Care century join training protect.,60.0
42,2023-06-15,H1-2023,2,2,2,3,5,Gas role almost factor phone short.,60.0
42,2023-12-15,H2-2023,4,4,4,4,5,Level remain card listen agency.,80.0
42,2024-06-15,H1-2024,3,3,3,2,5,Show do dinner part authority director student.,40.0
42,2024-12-15,H2-2024,2,3,2,4,5,Smile fly save can lot within.,80.0
42,2025-06-15,H1-2025,2,2,2,5,5,North let share change home three.,100.0
43,2023-06-15,H1-2023,4,4,4,5,5,Visit boy be summer later such difficult.,100.0
43,2023-12-15,H2-2023,5,5,5,5,5,About sense that.,100.0
43,2024-06-15,H1-2024,4,4,4,5,5,Reduce society people score.,100.0
43,2024-12-15,H2-2024,5,5,5,2,5,Performance understand identify page year east.,40.0
43,2025-06-15,H1-2025,5,5,5,4,5,Question doctor service affect business ready.,80.0
44,2023-06-15,H1-2023,2,3,2,4,5,Daughter trip visit offer other before human.,80.0
44,2023-12-15,H2-2023,3,3,3,5,5,Town address eat include offer some.,100.0
45,2023-06-15,H1-2023,4,2,3,4,5,Office health clear Mrs interview right race.,80.0
45,2023-12-15,H2-2023,3,3,3,4,5,Wall prepare perform.,80.0
45,2024-06-15,H1-2024,4,3,4,3,5,Since per art fill operation skin field.,60.0
45,2024-12-15,H2-2024,3,3,3,3,5,Every indicate wish.,60.0
45,2025-06-15,H1-2025,3,4,4,5,5,About hotel head.,100.0
46,2023-06-15,H1-2023,5,4,4,3,5,Ten town evening decision.,60.0
46,2023-12-15,H2-2023,5,5,5,5,5,Memory argue no student Democrat nation.,100.0
46,2024-06-15,H1-2024,4,4,4,2,5,Perhaps court western high.,40.0
46,2024-12-15,H2-2024,5,5,5,2,5,She create environment star hold society.,40.0
46,2025-06-15,H1-2025,5,5,5,3,5,Modern visit reveal you kind.,60.0
47,2023-06-15,H1-2023,5,5,5,3,5,Writer wind economy its.,60.0
47,2023-12-15,H2-2023,5,5,5,3,5,Smile water skin morning.,60.0
47,2024-06-15,H1-2024,4,4,4,4,5,Likely end activity expect positive large.,80.0
47,2024-12-15,H2-2024,5,4,4,3,5,Training summer like national rule each significant perform.,60.0
47,2025-06-15,H1-2025,4,5,4,4,5,Month wide early black.,80.0
48,2023-06-15,H1-2023,2,3,2,3,5,Effect soon issue shoulder decide hot.,60.0
48,2023-12-15,H2-2023,4,2,3,2,5,Ok effort southern style.,40.0
48,2024-06-15,H1-2024,3,4,4,3,5,Fight customer culture want arm.,60.0
48,2024-12-15,H2-2024,3,4,4,5,5,Quality call poor suddenly reduce building this market.,100.0
48,2025-06-15,H1-2025,2,2,2,2,5,Threat ago they fly marriage interview toward.,40.0
50,2023-06-15,H1-2023,3,4,4,5,5,Fund maybe say pattern under.,100.0
50,2023-12-15,H2-2023,3,4,4,3,5,That recognize attention its worry before they consider.,60.0
50,2024-06-15,H1-2024,4,2,3,5,5,Week hear woman like card.,100.0
50,2024-12-15,H2-2024,4,4,4,5,5,Early these apply with.,100.0
50,2025-06-15,H1-2025,2,2,2,5,5,Democrat finish maintain.,100.0
51,2023-06-15,H1-2023,3,2,2,5,5,Cell trip score practice enjoy senior.,100.0
51,2023-12-15,H2-2023,3,4,4,4,5,Notice speak choose college television few show.,80.0
51,2024-06-15,H1-2024,2,3,2,2,5,Wife spend admit better kind win.,40.0
51,2024-12-15,H2-2024,3,4,4,3,5,Section federal character deal bill despite.,60.0
51,2025-06-15,H1-2025,2,3,2,5,5,Until when law management each paper.,100.0
52,2023-06-15,H1-2023,4,3,4,4,5,Back early feeling material.,80.0
52,2023-12-15,H2-2023,3,2,2,4,5,College system statement realize.,80.0
52,2024-06-15,H1-2024,3,4,4,4,5,Speak statement federal traditional me face.,80.0
52,2024-12-15,H2-2024,2,2,2,5,5,Just factor kid guy majority indicate.,100.0
52,2025-06-15,H1-2025,3,4,4,2,5,Degree add talk of choose.,40.0
53,2023-06-15,H1-2023,2,3,2,5,5,Record shake Mrs some entire.,100.0
53,2023-12-15,H2-2023,2,1,2,4,5,Pattern start worry player social high large.,80.0
53,2024-06-15,H1-2024,2,1,2,2,5,Care phone image yet camera.,40.0
53,2024-12-15,H2-2024,1,2,2,2,5,Position pull personal share.,40.0
53,2025-06-15,H1-2025,1,3,2,3,5,Ball option same.,60.0
54,2023-06-15,H1-2023,4,4,4,5,5,First Congress class weight growth.,100.0
54,2023-12-15,H2-2023,2,3,2,3,5,Blue similar turn before.,60.0
54,2024-06-15,H1-2024,3,4,4,5,5,Yourself worry process certainly next road Democrat.,100.0
54,2024-12-15,H2-2024,4,4,4,2,5,Face nice fill financial summer society painting.,40.0
54,2025-06-15,H1-2025,3,2,2,4,5,Know improve church take course cold.,80.0
55,2023-06-15,H1-2023,2,3,2,3,5,Lead individual phone no skill story thousand.,60.0
55,2023-12-15,H2-2023,3,4,4,2,5,Water grow soon matter.,40.0
55,2024-06-15,H1-2024,4,3,4,5,5,Condition allow three discussion market majority may moment.,100.0
55,2024-12-15,H2-2024,4,2,3,5,5,Woman successful raise career office.,100.0
55,2025-06-15,H1-2025,3,2,2,3,5,Treatment international door.,60.0
56,2023-06-15,H1-2023,3,2,2,5,5,Visit then put best.,100.0
56,2023-12-15,H2-2023,1,1,1,2,5,Water political suggest government.,40.0
56,2024-06-15,H1-2024,3,3,3,2,5,Point seek officer compare thousand white.,40.0
56,2024-12-15,H2-2024,1,3,2,3,5,Once admit hotel window later matter federal.,60.0
56,2025-06-15,H1-2025,2,2,2,3,5,Side rule race but phone.,60.0
57,2023-06-15,H1-2023,2,4,3,3,5,Necessary serve avoid evening control.,60.0
57,2023-12-15,H2-2023,4,4,4,3,5,Age mouth price stand structure his.,60.0
57,2024-06-15,H1-2024,2,4,3,5,5,West stay audience result military.,100.0
57,2024-12-15,H2-2024,2,4,3,4,5,Everybody instead new parent set.,80.0
57,2025-06-15,H1-2025,4,3,4,2,5,Lead wall positive when.,40.0
58,2023-06-15,H1-2023,3,1,2,3,5,Carry seem speech product evidence.,60.0
58,2023-12-15,H2-2023,1,2,2,3,5,Side which now serve stuff.,60.0
58,2024-06-15,H1-2024,3,3,3,2,5,Between activity answer always truth movie couple out.,40.0
58,2024-12-15,H2-2024,1,2,2,4,5,Popular give religious.,80.0
58,2025-06-15,H1-2025,1,1,1,4,5,Reason language college could.,80.0
59,2023-06-15,H1-2023,3,3,3,4,5,Simple knowledge describe middle something.,80.0
59,2023-12-15,H2-2023,4,5,4,5,5,Two interest available relationship day.,100.0
59,2024-06-15,H1-2024,5,5,5,4,5,Every wear age near baby.,80.0
59,2024-12-15,H2-2024,5,4,4,5,5,Situation indeed decade challenge among tree third.,100.0
59,2025-06-15,H1-2025,4,4,4,4,5,American onto court whole before officer.,80.0
60,2023-06-15,H1-2023,3,3,3,3,5,Property character there unit.,60.0
60,2023-12-15,H2-2023,3,3,3,5,5,Alone cell woman building suffer leader us.,100.0
60,2024-06-15,H1-2024,3,2,2,3,5,Forward summer finally shoulder big late production.,60.0
60,2024-12-15,H2-2024,4,2,3,4,5,Support life note experience while risk.,80.0
60,2025-06-15,H1-2025,4,2,3,2,5,Unit democratic official on market consider.,40.0
61,2023-06-15,H1-2023,3,3,3,2,5,Beautiful common form account.,40.0
61,2023-12-15,H2-2023,2,4,3,5,5,Themselves foreign yet table total line.,100.0
61,2024-06-15,H1-2024,2,3,2,5,5,Serious at suggest end determine role.,100.0
61,2024-12-15,H2-2024,3,4,4,3,5,Republican pull art structure century drive hit.,60.0
61,2025-06-15,H1-2025,4,2,3,3,5,Me develop accept look shoulder behind list.,60.0
62,2023-06-15,H1-2023,4,3,4,2,5,Conference government admit participant American happy point.,40.0
62,2023-12-15,H2-2023,2,3,2,5,5,Plan information enter discuss board find.,100.0
62,2024-06-15,H1-2024,2,4,3,2,5,Know team pick space.,40.0
62,2024-12-15,H2-2024,4,3,4,3,5,Mr with serious keep increase about throw.,60.0
62,2025-06-15,H1-2025,4,2,3,5,5,Run nearly born sea paper growth.,100.0
63,2023-06-15,H1-2023,5,5,5,3,5,East member recently year.,60.0
64,2023-06-15,H1-2023,5,4,4,5,5,Blood final end represent resource prove record pay.,100.0
64,2023-12-15,H2-2023,4,3,4,5,5,By successful picture against.,100.0
64,2024-06-15,H1-2024,5,3,4,3,5,Identify dream shoulder head including design beat.,60.0
64,2024-12-15,H2-2024,3,5,4,3,5,Morning time because month stage few.,60.0
64,2025-06-15,H1-2025,4,4,4,3,5,Themselves recent example natural star want.,60.0
65,2023-06-15,H1-2023,4,2,3,5,5,Worker authority dog American language individual car.,100.0
65,2023-12-15,H2-2023,3,3,3,2,5,Along middle because keep everything west.,40.0
65,2024-06-15,H1-2024,2,2,2,4,5,Culture image sound measure run or.,80.0
65,2024-12-15,H2-2024,3,3,3,4,5,Seat line always physical thing lay.,80.0
65,2025-06-15,H1-2025,2,2,2,3,5,Health allow mean.,60.0
66,2023-06-15,H1-2023,2,4,3,2,5,Trade hope bag.,40.0
66,2023-12-15,H2-2023,2,3,2,4,5,Receive down century high place.,80.0
66,2024-06-15,H1-2024,2,2,2,4,5,Various determine strong matter sound market probably.,80.0
66,2024-12-15,H2-2024,2,3,2,3,5,Consider here walk expert past far start.,60.0
66,2025-06-15,H1-2025,3,2,2,5,5,Early decide news reality ago.,100.0
67,2023-06-15,H1-2023,5,5,5,2,5,Indicate listen physical.,40.0
67,2023-12-15,H2-2023,4,5,4,5,5,Fall doctor pretty whole paper task.,100.0
67,2024-06-15,H1-2024,5,5,5,3,5,Control adult energy of decide step back.,60.0
67,2024-12-15,H2-2024,5,5,5,2,5,Herself represent sure.,40.0
67,2025-06-15,H1-2025,5,4,4,4,5,Table themselves baby.,80.0
68,2023-06-15,H1-2023,4,2,3,5,5,Skill against center company live never know.,100.0
68,2023-12-15,H2-2023,3,4,4,5,5,What bit either reach case but treat.,100.0
68,2024-06-15,H1-2024,4,3,4,3,5,Military need plan window must bad.,60.0
68,2024-12-15,H2-2024,4,3,4,4,5,General effect reduce.,80.0
68,2025-06-15,H1-2025,2,2,2,3,5,Pressure already conference mother word.,60.0
69,2023-06-15,H1-2023,4,4,4,4,5,Focus trial talk out plan become public.,80.0
69,2023-12-15,H2-2023,2,2,2,2,5,List off magazine exactly.,40.0
69,2024-06-15,H1-2024,2,4,3,5,5,Article order source value director entire lot.,100.0
69,2024-12-15,H2-2024,3,4,4,4,5,Into expect authority old school.,80.0
69,2025-06-15,H1-2025,4,2,3,3,5,Size your traditional seem.,60.0
70,2023-06-15,H1-2023,5,5,5,5,5,Down visit task important rise possible pattern.,100.0
70,2023-12-15,H2-2023,5,4,4,5,5,Boy according drug eat part across.,100.0
70,2024-06-15,H1-2024,5,4,4,2,5,Left think officer.,40.0
70,2024-12-15,H2-2024,4,5,4,5,5,Concern artist then material sometimes almost whether usually.,100.0
70,2025-06-15,H1-2025,4,5,4,2,5,Dinner car grow suggest western page fill important.,40.0
71,2023-06-15,H1-2023,3,5,4,4,5,Mother stay half.,80.0
71,2023-12-15,H2-2023,3,3,3,4,5,Upon without really itself no quite.,80.0
71,2024-06-15,H1-2024,3,3,3,4,5,One age goal me with impact according.,80.0
71,2024-12-15,H2-2024,4,5,4,3,5,Product author cold local fact financial religious.,60.0
71,2025-06-15,H1-2025,4,5,4,2,5,Almost court chance discover.,40.0
72,2023-06-15,H1-2023,3,4,4,3,5,Star front involve oil establish too often.,60.0
