employee_id,review_date,review_period,self_rating,manager_rating,overall_rating,goals_achieved,goals_target,feedback_summary
8,2023-06-15,H1-2023,5,4,4,2,5,Deal fine region reason political.
8,2023-12-15,H2-2023,5,5,5,2,5,Section station price tend international if.
8,2024-06-15,H1-2024,4,5,4,5,5,Evidence nor spend language.
8,2024-12-15,H2-2024,4,4,4,2,5,During explain fight every power until.
8,2025-06-15,H1-2025,4,3,4,3,5,Figure right together offer collection seat air model.
9,2023-06-15,H1-2023,5,4,4,4,5,Do watch resource full.
9,2023-12-15,H2-2023,5,3,4,5,5,Today full they.
9,2024-06-15,H1-2024,5,4,4,2,5,Billion view parent.
9,2024-12-15,H2-2024,5,5,5,4,5,Keep bank section western weight.
9,2025-06-15,H1-2025,4,4,4,4,5,They newspaper get use author.
10,2023-06-15,H1-2023,3,3,3,2,5,Morning believe rather generation particularly.
10,2023-12-15,H2-2023,2,2,2,4,5,Ground Democrat dark describe sister decide weight.
10,2024-06-15,H1-2024,2,4,3,5,5,Late base political rest six.
10,2024-12-15,H2-2024,2,4,3,2,5,View matter industry direction project nature late material.
10,2025-06-15,H1-2025,4,3,4,5,5,Old PM wait from every.
11,2023-06-15,H1-2023,5,5,5,3,5,Suffer already walk cell moment it.
11,2023-12-15,H2-2023,5,5,5,4,5,Democratic collection happen idea force should red.
11,2024-06-15,H1-2024,5,5,5,5,5,Teacher already feeling southern test conference similar.
11,2024-12-15,H2-2024,5,5,5,2,5,Bill from interesting statement interview with.
11,2025-06-15,H1-2025,4,5,4,5,5,Push thousand health election.
12,2023-06-15,H1-2023,5,5,5,2,5,Left thus face such hour executive.
12,2023-12-15,H2-2023,5,5,5,3,5,Town agree successful reflect baby fact mention.
12,2024-06-15,H1-2024,5,5,5,4,5,Watch government sing factor area.
12,2024-12-15,H2-2024,4,5,4,2,5,Let act left then almost if community provide.
12,2025-06-15,H1-2025,5,5,5,5,5,Guy look consider speech.
13,2023-06-15,H1-2023,3,3,3,2,5,Over artist dinner agency whole test.
13,2023-12-15,H2-2023,3,4,4,2,5,Head exactly size customer quickly age.
13,2024-06-15,H1-2024,2,2,2,4,5,Life past read medical major must site decide.
13,2024-12-15,H2-2024,4,3,4,3,5,May indicate visit expert remain.
13,2025-06-15,H1-2025,2,4,3,3,5,Until deal also type lay.
14,2023-06-15,H1-2023,3,5,4,5,5,Agent chair cultural feel a.
14,2023-12-15,H2-2023,3,3,3,5,5,If bar others off.
14,2024-06-15,H1-2024,5,4,4,5,5,Message day throw long.
14,2024-12-15,H2-2024,5,5,5,5,5,Anything institution mother without job partner role.
14,2025-06-15,H1-2025,3,5,4,3,5,Rather tree near any kind major city east.
15,2023-06-15,H1-2023,4,5,4,4,5,Garden mouth instead call decide middle.
15,2023-12-15,H2-2023,5,5,5,3,5,Enough small article bit lay alone pass happy.
15,2024-06-15,H1-2024,5,5,5,2,5,Population national college point police sense.
15,2024-12-15,H2-2024,5,4,4,4,5,Republican project require discover anything else.
15,2025-06-15,H1-2025,4,5,4,5,5,Fight Mrs task Congress half cultural develop.
16,2023-06-15,H1-2023,4,2,3,4,5,Less woman term anyone ago bar mind.
16,2023-12-15,H2-2023,4,3,4,4,5,Happy reach third fly sign what.
16,2024-06-15,H1-2024,2,2,2,4,5,Past late mission media.
16,2024-12-15,H2-2024,2,2,2,3,5,Me wall we ahead wonder help.
16,2025-06-15,H1-2025,2,3,2,3,5,The imagine authority wrong professional front we.
17,2023-06-15,H1-2023,4,3,4,4,5,Into design political sign Democrat.
17,2023-12-15,H2-2023,4,3,4,5,5,Board toward major simply development certain.
17,2024-06-15,H1-2024,3,5,4,5,5,Spend option truth age.
17,2024-12-15,H2-2024,4,3,4,3,5,Make paper recent reach great history.
17,2025-06-15,H1-2025,5,3,4,4,5,Seven prepare entire medical.
18,2023-06-15,H1-2023,2,3,2,5,5,Shoulder TV maybe doctor.
18,2023-12-15,H2-2023,4,4,4,4,5,Morning democratic to part power.
18,2024-06-15,H1-2024,4,4,4,5,5,Whatever this now picture bad against hundred.
18,2024-12-15,H2-2024,2,3,2,3,5,Thousand note growth perhaps account assume author.
18,2025-06-15,H1-2025,3,3,3,2,5,Now traditional left cell.
19,2023-06-15,H1-2023,3,3,3,3,5,Just arm training bit after end pattern.
19,2023-12-15,H2-2023,4,2,3,5,5,Assume onto fly activity.
19,2024-06-15,H1-2024,4,2,3,3,5,Worry chance guy sound letter pull experience.
19,2024-12-15,H2-2024,3,4,4,3,5,Develop seem Mrs dark avoid bed kind.
19,2025-06-15,H1-2025,3,3,3,4,5,Know main process enough.
20,2023-06-15,H1-2023,4,4,4,2,5,Ability range five water road be.
20,2023-12-15,H2-2023,3,3,3,4,5,None issue charge wife common establish.
20,2024-06-15,H1-2024,4,3,4,4,5,Performance last include foot face.
20,2024-12-15,H2-2024,2,4,3,3,5,Environment man hard reveal cause term his report.
20,2025-06-15,H1-2025,2,3,2,5,5,Very fund section according society where.
21,2023-06-15,H1-2023,1,2,2,4,5,Whose morning point even really.
21,2023-12-15,H2-2023,2,1,2,2,5,Whole walk cause some early base machine.
21,2024-06-15,H1-2024,1,1,1,2,5,Conference treat receive political cell.
21,2024-12-15,H2-2024,2,1,2,3,5,Before evidence general point get write.
21,2025-06-15,H1-2025,2,1,2,4,5,Report role school fall run gas own.
22,2023-06-15,H1-2023,3,4,4,4,5,Save seek fly after parent because.
22,2023-12-15,H2-2023,3,4,4,5,5,Recent yard yeah hair.
22,2024-06-15,H1-2024,5,4,4,4,5,Feeling eye over say while stand deal.
22,2024-12-15,H2-2024,4,3,4,2,5,Would road song scientist describe million under.
22,2025-06-15,H1-2025,5,3,4,2,5,Himself collection nearly behavior represent above task land.
23,2023-06-15,H1-2023,5,4,4,3,5,Although mean care future low get.
23,2023-12-15,H2-2023,5,5,5,5,5,Others know technology unit.
23,2024-06-15,H1-2024,5,5,5,4,5,Push I teacher paper seat citizen watch.
23,2024-12-15,H2-2024,5,5,5,2,5,Agree then report factor air speech.
23,2025-06-15,H1-2025,4,3,4,4,5,Finish fine about know television those question conference.
24,2023-06-15,H1-2023,5,5,5,3,5,Girl difference ten administration.
24,2023-12-15,H2-2023,5,5,5,2,5,Sound lose least information western particular employee.
24,2024-06-15,H1-2024,5,5,5,3,5,Wonder interview would through say official.
24,2024-12-15,H2-2024,5,4,4,2,5,Our edge company key fill send.
24,2025-06-15,H1-2025,4,5,4,3,5,Health best sound whatever glass service.
25,2023-06-15,H1-2023,1,1,1,5,5,Fact get get issue fact us training.
25,2023-12-15,H2-2023,1,1,1,4,5,Not risk although night receive.
25,2024-06-15,H1-2024,1,1,1,3,5,Dinner case either nature car should available.
25,2024-12-15,H2-2024,2,1,2,5,5,Responsibility detail send administration surface.
25,2025-06-15,H1-2025,1,1,1,3,5,Experience professor break garden than.
26,2023-06-15,H1-2023,5,4,4,4,5,Whatever suggest hit answer.
26,2023-12-15,H2-2023,5,4,4,2,5,Stop able discover meet.
26,2024-06-15,H1-2024,5,4,4,2,5,Quality more various suffer international brother professional order.
26,2024-12-15,H2-2024,5,5,5,3,5,Wonder thank door.
26,2025-06-15,H1-2025,5,4,4,5,5,Range huge suffer measure inside attorney likely important.
27,2023-06-15,H1-2023,5,5,5,2,5,Apply that little then democratic.
27,2023-12-15,H2-2023,4,5,4,4,5,View rather quickly design without democratic.
27,2024-06-15,H1-2024,3,4,4,4,5,Example do still particularly reality mention company.
27,2024-12-15,H2-2024,5,5,5,2,5,Case account professor them follow.
27,2025-06-15,H1-2025,3,3,3,4,5,Partner just read unit wear prevent.
28,2023-06-15,H1-2023,5,5,5,2,5,Might organization car share really.
28,2023-12-15,H2-2023,5,4,4,5,5,Seven nearly sense open management spring.
28,2024-06-15,H1-2024,3,5,4,5,5,Camera offer difference by many.
28,2024-12-15,H2-2024,5,5,5,3,5,Term tree produce well pick center discussion.
28,2025-06-15,H1-2025,3,5,4,4,5,Walk last size through every he.
29,2023-06-15,H1-2023,4,4,4,5,5,Them speak attack newspaper.
29,2023-12-15,H2-2023,2,2,2,5,5,Training entire indicate fly direction might fight.
29,2024-06-15,H1-2024,2,4,3,2,5,Free forward item audience cup color.
29,2024-12-15,H2-2024,4,2,3,5,5,Throw reflect modern appear just any.
29,2025-06-15,H1-2025,2,4,3,3,5,Beyond common system raise about event.
30,2023-06-15,H1-2023,5,4,4,3,5,Why really check lose these drop money.
30,2023-12-15,H2-2023,5,5,5,4,5,Message region center.
30,2024-06-15,H1-2024,3,5,4,5,5,Skin age business fast account great church.
30,2024-12-15,H2-2024,5,5,5,2,5,Company job fight receive.
30,2025-06-15,H1-2025,3,4,4,2,5,Wonder build successful.
31,2023-06-15,H1-2023,4,5,4,2,5,Hotel himself young nearly where remain present.
31,2023-12-15,H2-2023,4,5,4,4,5,Majority both natural particularly fly gas cover.
31,2024-06-15,H1-2024,5,3,4,4,5,Watch improve husband factor garden during build.
31,2024-12-15,H2-2024,5,4,4,5,5,Lead way opportunity make between.
31,2025-06-15,H1-2025,4,5,4,5,5,Whatever court gun agent act establish candidate money.
32,2023-06-15,H1-2023,2,4,3,3,5,Town form region stuff just walk.
32,2023-12-15,H2-2023,2,4,3,3,5,Heart low glass image car nearly popular experience.
32,2024-06-15,H1-2024,3,3,3,3,5,Window candidate issue around staff story.
32,2024-12-15,H2-2024,2,3,2,2,5,Politics middle feeling practice class.
32,2025-06-15,H1-2025,2,4,3,4,5,Else reduce care opportunity prove blue impact.
33,2023-06-15,H1-2023,5,4,4,5,5,Same officer just drop say white.
33,2023-12-15,H2-2023,4,4,4,4,5,Raise role my news.
33,2024-06-15,H1-2024,4,4,4,5,5,Decision experience evening attack effect drive thank while.
33,2024-12-15,H2-2024,5,4,4,3,5,Necessary of believe recognize event.
34,2023-06-15,H1-2023,3,3,3,2,5,Feel others research card animal suggest then.
34,2023-12-15,H2-2023,3,1,2,5,5,Never them despite wife.
34,2024-06-15,H1-2024,2,3,2,3,5,Trade education key standard write.
34,2024-12-15,H2-2024,2,2,2,4,5,Director bed leave window focus produce generation.
34,2025-06-15,H1-2025,3,3,3,5,5,Shoulder knowledge food prepare.
35,2023-06-15,H1-2023,3,4,4,2,5,Seek bring available.
35,2023-12-15,H2-2023,5,3,4,4,5,Congress discover poor table couple step.
35,2024-06-15,H1-2024,5,3,4,4,5,Head water wear situation share.
35,2024-12-15,H2-2024,4,5,4,5,5,Everything despite fund.
35,2025-06-15,H1-2025,3,4,4,2,5,Job feeling why behavior skin almost.
36,2023-06-15,H1-2023,5,5,5,2,5,Beyond question together operation must light.
36,2023-12-15,H2-2023,5,4,4,2,5,Certain activity public customer.
36,2024-06-15,H1-2024,4,3,4,4,5,Various effect else participant blue others possible.
36,2024-12-15,H2-2024,3,5,4,4,5,Within final woman change rather.
36,2025-06-15,H1-2025,4,3,4,4,5,Box it head president wear.
37,2023-06-15,H1-2023,2,4,3,5,5,But west me team.
37,2023-12-15,H2-2023,2,3,2,5,5,Per least can send standard political country science.
37,2024-06-15,H1-2024,3,2,2,3,5,Crime writer action step before successful.
37,2024-12-15,H2-2024,2,3,2,5,5,Less instead dinner as everyone year.
37,2025-06-15,H1-2025,2,3,2,3,5,Writer hand consider for cost others outside weight.
38,2023-06-15,H1-2023,3,3,3,3,5,Present newspaper hotel throw finish.
38,2023-12-15,H2-2023,1,3,2,3,5,Coach list mean particular.
38,2024-06-15,H1-2024,1,1,1,3,5,Look little class send base behind child.
38,2024-12-15,H2-2024,1,1,1,2,5,Mission Mrs upon hard return.
38,2025-06-15,H1-2025,2,2,2,2,5,Involve visit law product.
39,2023-06-15,H1-2023,5,3,4,5,5,Interview company sense military.
39,2023-12-15,H2-2023,3,3,3,3,5,Political study difference answer street attorney.
39,2024-06-15,H1-2024,3,4,4,5,5,Simply share range exist.
39,2024-12-15,H2-2024,5,3,4,5,5,Attorney add wait visit.
39,2025-06-15,H1-2025,3,4,4,4,5,Democratic television common strategy.
40,2023-06-15,H1-2023,4,3,4,4,5,Billion ahead group product.
40,2023-12-15,H2-2023,3,2,2,5,5,Republican effort although leader its.
40,2024-06-15,H1-2024,4,2,3,4,5,Face interest which stuff brother experience nothing.
40,2024-12-15,H2-2024,3,3,3,4,5,Major type room.
40,2025-06-15,H1-2025,4,4,4,5,5,First pattern decision.
41,2023-06-15,H1-2023,5,4,4,5,5,Approach particular it become turn north.
41,2023-12-15,H2-2023,5,5,5,3,5,Ability American toward everything.
41,2024-06-15,H1-2024,5,4,4,2,5,Whom open budget audience.
41,2024-12-15,H2-2024,5,5,5,3,5,Voice end fine.
41,2025-06-15,H1-2025,5,5,5,3,5,Care century join training protect.
42,2023-06-15,H1-2023,2,2,2,3,5,Gas role almost factor phone short.
42,2023-12-15,H2-2023,4,4,4,4,5,Level remain card listen agency.
42,2024-06-15,H1-2024,3,3,3,2,5,Show do dinner part authority director student.
42,2024-12-15,H2-2024,2,3,2,4,5,Smile fly save can lot within.
42,2025-06-15,H1-2025,2,2,2,5,5,North let share change home three.
43,2023-06-15,H1-2023,4,4,4,5,5,Visit boy be summer later such difficult.
43,2023-12-15,H2-2023,5,5,5,5,5,About sense that.
43,2024-06-15,H1-2024,4,4,4,5,5,Reduce society people score.
43,2024-12-15,H2-2024,5,5,5,2,5,Performance understand identify page year east.
43,2025-06-15,H1-2025,5,5,5,4,5,Question doctor service affect business ready.
44,2023-06-15,H1-2023,2,3,2,4,5,Daughter trip visit offer other before human.
44,2023-12-15,H2-2023,3,3,3,5,5,Town address eat include offer some.
45,2023-06-15,H1-2023,4,2,3,4,5,Office health clear Mrs interview right race.
45,2023-12-15,H2-2023,3,3,3,4,5,Wall prepare perform.
45,2024-06-15,H1-2024,4,3,4,3,5,Since per art fill operation skin field.
45,2024-12-15,H2-2024,3,3,3,3,5,Every indicate wish.
45,2025-06-15,H1-2025,3,4,4,5,5,About hotel head.
46,2023-06-15,H1-2023,5,4,4,3,5,Ten town evening decision.
46,2023-12-15,H2-2023,5,5,5,5,5,Memory argue no student Democrat nation.
46,2024-06-15,H1-2024,4,4,4,2,5,Perhaps court western high.
46,2024-12-15,H2-2024,5,5,5,2,5,She create environment star hold society.
46,2025-06-15,H1-2025,5,5,5,3,5,Modern visit reveal you kind.
47,2023-06-15,H1-2023,5,5,5,3,5,Writer wind economy its.
47,2023-12-15,H2-2023,5,5,5,3,5,Smile water skin morning.
47,2024-06-15,H1-2024,4,4,4,4,5,Likely end activity expect positive large.
47,2024-12-15,H2-2024,5,4,4,3,5,Training summer like national rule each significant perform.
47,2025-06-15,H1-2025,4,5,4,4,5,Month wide early black.
48,2023-06-15,H1-2023,2,3,2,3,5,Effect soon issue shoulder decide hot.
48,2023-12-15,H2-2023,4,2,3,2,5,Ok effort southern style.
48,2024-06-15,H1-2024,3,4,4,3,5,Fight customer culture want arm.
48,2024-12-15,H2-2024,3,4,4,5,5,Quality call poor suddenly reduce building this market.
48,2025-06-15,H1-2025,2,2,2,2,5,Threat ago they fly marriage interview toward.
50,2023-06-15,H1-2023,3,4,4,5,5,Fund maybe say pattern under.
50,2023-12-15,H2-2023,3,4,4,3,5,That recognize attention its worry before they consider.
50,2024-06-15,H1-2024,4,2,3,5,5,Week hear woman like card.
50,2024-12-15,H2-2024,4,4,4,5,5,Early these apply with.
50,2025-06-15,H1-2025,2,2,2,5,5,Democrat finish maintain.
51,2023-06-15,H1-2023,3,2,2,5,5,Cell trip score practice enjoy senior.
51,2023-12-15,H2-2023,3,4,4,4,5,Notice speak choose college television few show.
51,2024-06-15,H1-2024,2,3,2,2,5,Wife spend admit better kind win.
51,2024-12-15,H2-2024,3,4,4,3,5,Section federal character deal bill despite.
51,2025-06-15,H1-2025,2,3,2,5,5,Until when law management each paper.
52,2023-06-15,H1-2023,4,3,4,4,5,Back early feeling material.
52,2023-12-15,H2-2023,3,2,2,4,5,College system statement realize.
52,2024-06-15,H1-2024,3,4,4,4,5,Speak statement federal traditional me face.
52,2024-12-15,H2-2024,2,2,2,5,5,Just factor kid guy majority indicate.
52,2025-06-15,H1-2025,3,4,4,2,5,Degree add talk of choose.
53,2023-06-15,H1-2023,2,3,2,5,5,Record shake Mrs some entire.
53,2023-12-15,H2-2023,2,1,2,4,5,Pattern start worry player social high large.
53,2024-06-15,H1-2024,2,1,2,2,5,Care phone image yet camera.
53,2024-12-15,H2-2024,1,2,2,2,5,Position pull personal share.
53,2025-06-15,H1-2025,1,3,2,3,5,Ball option same.
54,2023-06-15,H1-2023,4,4,4,5,5,First Congress class weight growth.
54,2023-12-15,H2-2023,2,3,2,3,5,Blue similar turn before.
54,2024-06-15,H1-2024,3,4,4,5,5,Yourself worry process certainly next road Democrat.
54,2024-12-15,H2-2024,4,4,4,2,5,Face nice fill financial summer society painting.
54,2025-06-15,H1-2025,3,2,2,4,5,Know improve church take course cold.
55,2023-06-15,H1-2023,2,3,2,3,5,Lead individual phone no skill story thousand.
55,2023-12-15,H2-2023,3,4,4,2,5,Water grow soon matter.
55,2024-06-15,H1-2024,4,3,4,5,5,Condition allow three discussion market majority may moment.
55,2024-12-15,H2-2024,4,2,3,5,5,Woman successful raise career office.
55,2025-06-15,H1-2025,3,2,2,3,5,Treatment international door.
56,2023-06-15,H1-2023,3,2,2,5,5,Visit then put best.
56,2023-12-15,H2-2023,1,1,1,2,5,Water political suggest government.
56,2024-06-15,H1-2024,3,3,3,2,5,Point seek officer compare thousand white.
56,2024-12-15,H2-2024,1,3,2,3,5,Once admit hotel window later matter federal.
56,2025-06-15,H1-2025,2,2,2,3,5,Side rule race but phone.
57,2023-06-15,H1-2023,2,4,3,3,5,Necessary serve avoid evening control.
57,2023-12-15,H2-2023,4,4,4,3,5,Age mouth price stand structure his.
57,2024-06-15,H1-2024,2,4,3,5,5,West stay audience result military.
57,2024-12-15,H2-2024,2,4,3,4,5,Everybody instead new parent set.
57,2025-06-15,H1-2025,4,3,4,2,5,Lead wall positive when.
58,2023-06-15,H1-2023,3,1,2,3,5,Carry seem speech product evidence.
58,2023-12-15,H2-2023,1,2,2,3,5,Side which now serve stuff.
58,2024-06-15,H1-2024,3,3,3,2,5,Between activity answer always truth movie couple out.
58,2024-12-15,H2-2024,1,2,2,4,5,Popular give religious.
58,2025-06-15,H1-2025,1,1,1,4,5,Reason language college could.
59,2023-06-15,H1-2023,3,3,3,4,5,Simple knowledge describe middle something.
59,2023-12-15,H2-2023,4,5,4,5,5,Two interest available relationship day.
59,2024-06-15,H1-2024,5,5,5,4,5,Every wear age near baby.
59,2024-12-15,H2-2024,5,4,4,5,5,Situation indeed decade challenge among tree third.
59,2025-06-15,H1-2025,4,4,4,4,5,American onto court whole before officer.
60,2023-06-15,H1-2023,3,3,3,3,5,Property character there unit.
60,2023-12-15,H2-2023,3,3,3,5,5,Alone cell woman building suffer leader us.
60,2024-06-15,H1-2024,3,2,2,3,5,Forward summer finally shoulder big late production.
60,2024-12-15,H2-2024,4,2,3,4,5,Support life note experience while risk.
60,2025-06-15,H1-2025,4,2,3,2,5,Unit democratic official on market consider.
61,2023-06-15,H1-2023,3,3,3,2,5,Beautiful common form account.
61,2023-12-15,H2-2023,2,4,3,5,5,Themselves foreign yet table total line.
61,2024-06-15,H1-2024,2,3,2,5,5,Serious at suggest end determine role.
61,2024-12-15,H2-2024,3,4,4,3,5,Republican pull art structure century drive hit.
61,2025-06-15,H1-2025,4,2,3,3,5,Me develop accept look shoulder behind list.
62,2023-06-15,H1-2023,4,3,4,2,5,Conference government admit participant American happy point.
62,2023-12-15,H2-2023,2,3,2,5,5,Plan information enter discuss board find.
62,2024-06-15,H1-2024,2,4,3,2,5,Know team pick space.
62,2024-12-15,H2-2024,4,3,4,3,5,Mr with serious keep increase about throw.
62,2025-06-15,H1-2025,4,2,3,5,5,Run nearly born sea paper growth.
63,2023-06-15,H1-2023,5,5,5,3,5,East member recently year.
64,2023-06-15,H1-2023,5,4,4,5,5,Blood final end represent resource prove record pay.
64,2023-12-15,H2-2023,4,3,4,5,5,By successful picture against.
64,2024-06-15,H1-2024,5,3,4,3,5,Identify dream shoulder head including design beat.
64,2024-12-15,H2-2024,3,5,4,3,5,Morning time because month stage few.
64,2025-06-15,H1-2025,4,4,4,3,5,Themselves recent example natural star want.
65,2023-06-15,H1-2023,4,2,3,5,5,Worker authority dog American language individual car.
65,2023-12-15,H2-2023,3,3,3,2,5,Along middle because keep everything west.
65,2024-06-15,H1-2024,2,2,2,4,5,Culture image sound measure run or.
65,2024-12-15,H2-2024,3,3,3,4,5,Seat line always physical thing lay.
65,2025-06-15,H1-2025,2,2,2,3,5,Health allow mean.
66,2023-06-15,H1-2023,2,4,3,2,5,Trade hope bag.
66,2023-12-15,H2-2023,2,3,2,4,5,Receive down century high place.
66,2024-06-15,H1-2024,2,2,2,4,5,Various determine strong matter sound market probably.
66,2024-12-15,H2-2024,2,3,2,3,5,Consider here walk expert past far start.
66,2025-06-15,H1-2025,3,2,2,5,5,Early decide news reality ago.
67,2023-06-15,H1-2023,5,5,5,2,5,Indicate listen physical.
67,2023-12-15,H2-2023,4,5,4,5,5,Fall doctor pretty whole paper task.
67,2024-06-15,H1-2024,5,5,5,3,5,Control adult energy of decide step back.
67,2024-12-15,H2-2024,5,5,5,2,5,Herself represent sure.
67,2025-06-15,H1-2025,5,4,4,4,5,Table themselves baby.
68,2023-06-15,H1-2023,4,2,3,5,5,Skill against center company live never know.
68,2023-12-15,H2-2023,3,4,4,5,5,What bit either reach case but treat.
68,2024-06-15,H1-2024,4,3,4,3,5,Military need plan window must bad.
68,2024-12-15,H2-2024,4,3,4,4,5,General effect reduce.
68,2025-06-15,H1-2025,2,2,2,3,5,Pressure already conference mother word.
69,2023-06-15,H1-2023,4,4,4,4,5,Focus trial talk out plan become public.
69,2023-12-15,H2-2023,2,2,2,2,5,List off magazine exactly.
69,2024-06-15,H1-2024,2,4,3,5,5,Article order source value director entire lot.
69,2024-12-15,H2-2024,3,4,4,4,5,Into expect authority old school.
69,2025-06-15,H1-2025,4,2,3,3,5,Size your traditional seem.
70,2023-06-15,H1-2023,5,5,5,5,5,Down visit task important rise possible pattern.
70,2023-12-15,H2-2023,5,4,4,5,5,Boy according drug eat part across.
70,2024-06-15,H1-2024,5,4,4,2,5,Left think officer.
70,2024-12-15,H2-2024,4,5,4,5,5,Concern artist then material sometimes almost whether usually.
70,2025-06-15,H1-2025,4,5,4,2,5,Dinner car grow suggest western page fill important.
71,2023-06-15,H1-2023,3,5,4,4,5,Mother stay half.
71,2023-12-15,H2-2023,3,3,3,4,5,Upon without really itself no quite.
71,2024-06-15,H1-2024,3,3,3,4,5,One age goal me with impact according.
71,2024-12-15,H2-2024,4,5,4,3,5,Product author cold local fact financial religious.
71,2025-06-15,H1-2025,4,5,4,2,5,Almost court chance discover.
72,2023-06-15,H1-2023,3,4,4,3,5,Star front involve oil establish too often.
72,2023-12-15,H2-2023,3,2,2,3,5,Young position detail sign.
72,2024-06-15,H1-2024,3,2,2,5,5,Score factor weight bring.
72,2024-12-15,H2-2024,4,3,4,5,5,Data physical hear instead north answer right.
72,2025-06-15,H1-2025,2,4,3,2,5,On man student the five.
73,2023-06-15,H1-2023,5,4,4,2,5,Difference data state sure another.
73,2023-12-15,H2-2023,4,4,4,4,5,Church fire power.
73,2024-06-15,H1-2024,5,5,5,3,5,City daughter yet often red but.
73,2024-12-15,H2-2024,4,4,4,4,5,Million history forward final position whose cell.
73,2025-06-15,H1-2025,4,5,4,4,5,Us bed the about.
74,2023-06-15,H1-2023,1,3,2,4,5,Natural suddenly everything computer prepare at.
74,2023-12-15,H2-2023,1,1,1,3,5,Think attorney happy build feel though.
74,2024-06-15,H1-2024,2,2,2,2,5,Goal represent career nearly east specific industry true.
74,2024-12-15,H2-2024,3,1,2,2,5,Record early radio stop.
74,2025-06-15,H1-2025,3,3,3,5,5,Teach dark benefit current.
75,2023-06-15,H1-2023,5,5,5,3,5,Program require while must stuff region.
75,2023-12-15,H2-2023,4,3,4,2,5,Speech she really bring cold while unit medical.
75,2024-06-15,H1-2024,5,3,4,4,5,None similar him relationship always beat.
75,2024-12-15,H2-2024,4,4,4,3,5,Raise build some street without range another sell.
75,2025-06-15,H1-2025,3,5,4,5,5,Minute however task music four.
76,2023-06-15,H1-2023,3,3,3,5,5,Responsibility into moment nearly election treat.
76,2023-12-15,H2-2023,3,4,4,2,5,Business thing strategy north laugh.
76,2024-06-15,H1-2024,3,2,2,4,5,Moment forward available military notice race.
76,2024-12-15,H2-2024,4,4,4,5,5,Also really fire include something religious machine field.
76,2025-06-15,H1-2025,4,3,4,4,5,Voice movie produce.
77,2023-06-15,H1-2023,5,5,5,3,5,Consider deep far address.
77,2023-12-15,H2-2023,4,5,4,4,5,Mention arrive decade ok down establish theory.
77,2024-06-15,H1-2024,4,5,4,3,5,Debate allow course how painting data.
77,2024-12-15,H2-2024,5,5,5,5,5,Fast charge stay body able open hospital catch.
77,2025-06-15,H1-2025,5,5,5,4,5,Who head across direction.
78,2023-06-15,H1-2023,4,4,4,3,5,Exactly door perhaps general provide floor.
78,2023-12-15,H2-2023,4,4,4,2,5,Key debate southern serious focus own break.
78,2024-06-15,H1-2024,3,4,4,2,5,Operation traditional color support race occur ever pick.
78,2024-12-15,H2-2024,3,4,4,3,5,Rate state parent politics first between.
78,2025-06-15,H1-2025,3,2,2,2,5,Great challenge church impact product.
79,2023-06-15,H1-2023,3,4,4,4,5,All former campaign expert save bill most.
79,2023-12-15,H2-2023,5,3,4,2,5,Performance improve raise act any opportunity travel.
